Date,Day,Task,Status
2026-07-28,Tuesday,Initial project requirements gathering and analysis,In Progress
2026-07-29,Wednesday,Created HTML prototype for demo (demo 2 folder),Done
2026-07-30,Thursday,Evaluated frontend approaches (Thymeleaf vs React),Done
2026-07-31,Friday,Recommended React (Client-Side SPA) architecture,Done
2026-08-01,Saturday,Weekend - No Tasks Scheduled,-
2026-08-02,Sunday,Weekend - No Tasks Scheduled,-
2026-08-03,Monday,Designed PostgreSQL Database Schema,In Progress
2026-08-04,Tuesday,"Created ER Diagram for Users, Roles, Customers, Projects, Quotations",Done
2026-08-05,Wednesday,Defined Liquibase Changelog Strategy,Done
2026-08-06,Thursday,"Drafted Standardized API endpoints (Auth, Admin, Customers)",Done
2026-08-07,Friday,Proposed Clean Architecture Folder Structure,In Progress
2026-08-08,Saturday,Weekend - No Tasks Scheduled,-
2026-08-09,Sunday,Weekend - No Tasks Scheduled,-
2026-08-10,Monday,Defined Verification & Testing Plan,Done
2026-08-11,Tuesday,Outlined Project Setup Phased Plan,Done
2026-08-12,Wednesday,Initialized Spring Boot skeleton (Maven + Java + PostgreSQL),In Progress
2026-08-13,Thursday,Set up centralized application.yml configuration,In Progress
2026-08-14,Friday,Configured Liquibase and created initial changelog,In Progress
2026-08-15,Saturday,Weekend - No Tasks Scheduled,-
2026-08-16,Sunday,Weekend - No Tasks Scheduled,-
2026-08-17,Monday,Initialized NeoSowInfraMobile app repository structure,Done
2026-08-18,Tuesday,Phase 2: Security Implementation planning,In Progress
2026-08-19,Wednesday,Designed JWT Token Provider and JwtFilter structure,Done
2026-08-20,Thursday,Set up UserDetailsService and GlobalExceptionHandler,Done
2026-08-21,Friday,"Created JPA Entities for User, Role, Customer, Project",Done
2026-08-22,Saturday,Weekend - No Tasks Scheduled,-
2026-08-23,Sunday,Weekend - No Tasks Scheduled,-
2026-08-24,Monday,Configured Spring Data JPA Repositories,In Progress
2026-08-25,Tuesday,Defined Request/Response DTOs,Done
2026-08-26,Wednesday,Set up MapStruct Mapper interfaces,Done
